gene_symbol	ensembl_id	exposure_id	exposure_trait	outcome_id	n_tophits	n_after_f	n_after_cap	n_after_clump	n_after_outcome_join	n_after_harmonise	nsnp_used	status
ABHD1	ENSG00000143994	eqtlcat-QTD000286-ENSG00000143994	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	86	86	86	1	1	1	1	mr_single_snp_only
SLC67A1	ENSG00000110628	eqtlcat-QTD000286-ENSG00000110628	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	20	20	20	1	1	1	1	mr_single_snp_only
TMEM176B	ENSG00000106565	eqtlcat-QTD000286-ENSG00000106565	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	4	4	4	1	1	1	1	mr_single_snp_only
TPSAB1	ENSG00000172236	eqtlcat-QTD000286-ENSG00000172236	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	28	28	28	1	1	1	1	mr_single_snp_only
ATOH8	ENSG00000168874	eqtlcat-QTD000286-ENSG00000168874	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
CBR3-AS1	ENSG00000236830	eqtlcat-QTD000286-ENSG00000236830	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
DEFA3	ENSG00000239839	eqtlcat-QTD000286-ENSG00000239839	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
DGKK	ENSG00000274588	eqtlcat-QTD000286-ENSG00000274588	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
FANK1	ENSG00000203780	eqtlcat-QTD000286-ENSG00000203780	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
HGD	ENSG00000113924	eqtlcat-QTD000286-ENSG00000113924	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
HPCAL1	ENSG00000115756	eqtlcat-QTD000286-ENSG00000115756	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
HSPA8P15	ENSG00000219395	eqtlcat-QTD000286-ENSG00000219395	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
LAMP5	ENSG00000125869	eqtlcat-QTD000286-ENSG00000125869	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
LOC100422317	ENSG00000267430	eqtlcat-QTD000286-ENSG00000267430	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
LOC100422627	ENSG00000234841	eqtlcat-QTD000286-ENSG00000234841	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
MXI1	ENSG00000119950	eqtlcat-QTD000286-ENSG00000119950	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
NUDT19P5	ENSG00000251073	eqtlcat-QTD000286-ENSG00000251073	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
OLIG1	ENSG00000184221	eqtlcat-QTD000286-ENSG00000184221	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
PRTN3	ENSG00000196415	eqtlcat-QTD000286-ENSG00000196415	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
RAP1GAP	ENSG00000076864	eqtlcat-QTD000286-ENSG00000076864	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
RNU6-33P	ENSG00000207524	eqtlcat-QTD000286-ENSG00000207524	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
RPL22P2	ENSG00000241081	eqtlcat-QTD000286-ENSG00000241081	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
RPL39P15	ENSG00000231414	eqtlcat-QTD000286-ENSG00000231414	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
RPS2P35	ENSG00000238172	eqtlcat-QTD000286-ENSG00000238172	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
S100B	ENSG00000160307	eqtlcat-QTD000286-ENSG00000160307	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
SAMD4A-AS1	ENSG00000285774	eqtlcat-QTD000286-ENSG00000285774	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
SLC39A8	ENSG00000138821	eqtlcat-QTD000286-ENSG00000138821	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
TP53TG3D	ENSG00000205456	eqtlcat-QTD000286-ENSG00000205456	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	1	1	1	0	0	0	0	all_dropped_after_clump
TPRG1L	ENSG00000158109	eqtlcat-QTD000286-ENSG00000158109	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
TRGV5	ENSG00000211697	eqtlcat-QTD000286-ENSG00000211697	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
TRIM56	ENSG00000169871	eqtlcat-QTD000286-ENSG00000169871	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
